PERSONNAGES	personnage	NC	_
.	.	PONCT	_
ACTEURS	acteur	NC	_
.	.	PONCT	_
*	*	X	_
ROGER	Roger	NP	_
,	,	PONCT	_
chef	chef	NC	_
des	de_le	P+D	_
indépendants	indépendant	NC	_
.	.	PONCT	_
Le	le	DET	_
Citoyen	Citoyen	NC	_
Bithemer	Bithemer	NP	_
.	.	PONCT	_
*	*	X	_
VICTOR	Victor	NP	_
,	,	PONCT	_
fils	fils	NC	_
de	de	P	_
Roger	Roger	NP	_
,	,	PONCT	_
adopté	adopter	VPP	_
par	par	P	_
le	le	DET	_
baron	baron	NC	_
de	de	P	_
*	*	X	_
Fritzierne	Fritzierne	NP	_
.	.	PONCT	_
Le	le	DET	_
Citoyen	Citoyen	NC	_
Isidor	Isidor	NP	_
.	.	PONCT	_
Le	le	DET	_
baron	baron	NC	_
de	de	P	_
*	*	PONCT	_
FRITZIERNE	FRITZIERNE	NC	_
,	,	PONCT	_
ancien	ancien	ADJ	_
officier	officier	NC	_
général	général	ADJ	_
des	de_le	P+D	_
troupes	troupe	NC	_
de	de	P	_
l'	le	DET	_
empereur	empereur	NC	_
.	.	PONCT	_
Le	le	DET	_
Citoyen	Citoyen	NC	_
Lebel	Lebel	NP	_
.	.	PONCT	_
*	*	X	_
VALENTIN	VALENTIN	NP	_
,	,	PONCT	_
vieil	vieux	ADJ	_
invalide	invalide	NC	_
attaché	attacher	VPP	_
à	à	P	_
Victor	Victor	NP	_
.	.	PONCT	_
Le	le	DET	_
Citoyen	Citoyen	NC	_
Duparray	Duparray	NP	_
.	.	PONCT	_
*	*	X	_
FORBAN	forban	NC	_
,	,	PONCT	_
principal	principal	ADJ	_
officier	officier	NC	_
de	de	P	_
Roger	Roger	NP	_
.	.	PONCT	_
Le	le	DET	_
Citoyen	Citoyen	NC	_
Stocley	Stocley	NP	_
.	.	PONCT	_
*	*	X	_
MORNECK	MORNECK	X	_
,	,	PONCT	_
principal	principal	ADJ	_
officier	officier	NC	_
de	de	P	_
Roger	Roger	NP	_
.	.	PONCT	_
Le	le	DET	_
Citoyen	Citoyen	NC	_
Revalard	Revalard	NP	_
.	.	PONCT	_
*	*	X	_
FAUSMANN	FAUSMANN	X	_
,	,	PONCT	_
principal	principal	ADJ	_
officier	officier	NC	_
de	de	P	_
Roger	Roger	NP	_
.	.	PONCT	_
Le	le	DET	_
Citoyen	Citoyen	NC	_
Castel	Castel	NP	_
.	.	PONCT	_
*	*	X	_
DRAGOVICK	DRAGOVICK	X	_
,	,	PONCT	_
principal	principal	ADJ	_
officier	officier	NC	_
de	de	P	_
Roger	Roger	NP	_
.	.	PONCT	_
Le	le	DET	_
Citoyen	Citoyen	NC	_
Jeaut	Jeaut	NP	_
.	.	PONCT	_
*	*	X	_
CLÉMENCE	clémence	NC	_
,	,	PONCT	_
fille	fille	NC	_
du	de_le	P+D	_
Baron	baron	NP	_
.	.	PONCT	_
La	le	DET	_
Citoyenne	Citoyenne	NC	_
Cousin	Cousin	NP	_
.	.	PONCT	_
Mad	Mad	NP	_
.	.	PONCT	_
*	*	PONCT	_
GERMAIN	germain	ADJ	_
.	.	PONCT	_
La	le	DET	_
Citoyenne	Citoyenne	NC	_
Deversy	Deversy	NP	_
.	.	PONCT	_
Un	un	DET	_
officier	officier	NC	_
général	général	ADJ	_
allemand	allemand	ADJ	_
.	.	PONCT	_
Un	un	DET	_
habitant	habitant	NC	_
du	de_le	P+D	_
château	château	NC	_
.	.	PONCT	_
Deux	deux	DET	_
indépendans	indépendant	NC	_
.	.	PONCT	_
Quatre	quatre	DET	_
officiers	officier	NC	_
allemands	allemand	ADJ	_
.	.	PONCT	_
Six	six	DET	_
lutteurs	lutteur	NC	_
.	.	PONCT	_
Six	six	DET	_
Nègres	Nègres	NC	_
.	.	PONCT	_
Habitants	habitant	NC	_
