1	1	X	_
-	-	PONCT	_
quarante	quarante	DET	_
scudi	scudi	NC	_
?	?	PONCT	_
-	-	X	_
oui	oui	I	_
,	,	PONCT	_
signora	signora	NC	_
.	.	PONCT	_
-	-	X	_
cela	cela	PRO	_
fait	faire	V	_
,	,	PONCT	_
n'	ne	ADV	_
est	être	V	_
-ce	ce	CLS	_
pas	pas	ADV	_
,	,	PONCT	_
en	en	P	_
monnaie	monnaie	NC	_
de	de	P	_
France	France	NP	_
,	,	PONCT	_
deux_cents	deux_cents	DET	_
francs	franc	NC	_
?	?	PONCT	_
-	-	X	_
deux_cents	deux_cents	DET	_
francs	franc	NC	_
?	?	PONCT	_
...	…	PONCT	_
-	-	PONCT	_
fit	faire	V	_
la	le	DET	_
romaine	romaine	NC	_
qui	qui	PROREL	_
montrait	montrer	V	_
l'	le	DET	_
appartement	appartement	NC	_
à	à	P	_
l'	le	DET	_
étrangère	étrangère	NC	_
:	:	PONCT	_
elle	il	CLS	_
parut	paraître	V	_
chercher	chercher	VINF	_
,	,	PONCT	_
compter	compter	VINF	_
dans	dans	P	_
sa	son	DET	_
tête	tête	NC	_
.	.	PONCT	_
-	-	PONCT	_
oui	oui	I	_
,	,	PONCT	_
oui	oui	I	_
...	…	PONCT	_
deux_cents	deux_cents	DET	_
francs	franc	NC	_
.	.	PONCT	_
Mais	mais	CC	_
la	le	DET	_
signora	signora	NC	_
n'	ne	ADV	_
a	avoir	V	_
pas	pas	ADV	_
bien	bien	ADV	_
vu	voir	VPP	_
...	…	PONCT	_
et	et	CC	_
,	,	PONCT	_
jetant	jeter	VPR	_
son	son	DET	_
châle	châle	NC	_
brusquement	brusquement	ADV	_
sur	sur	P	_
un	un	DET	_
lit	lit	NC	_
défait	défaire	VPP	_
,	,	PONCT	_
elle	il	CLS	_
se	se	CLO	_
mit	mettre	V	_
à	à	P	_
marcher	marcher	VINF	_
de	de	P	_
chambre	chambre	NC	_
en	en	P	_
chambre	chambre	NC	_
avec	avec	P	_
de	un	DET	_
vives	vif	ADJ	_
ondulations	ondulation	NC	_
de	de	P	_
taille	taille	NC	_
,	,	PONCT	_
en	en	P	_
parlant	parler	VPR	_
avec	avec	P	_
la	le	DET	_
volubilité	volubilité	NC	_
d'	de	P	_
une	un	DET	_
padrona	padrona	NC	_
de	de	P	_
chambres	chambre	NC	_
meublées	meubler	VPP	_
:	:	PONCT	_
-	-	X	_
voyez	voir	V	_
-vous	vous	CLO	_
,	,	PONCT	_
ils	il	CLS	_
sont	être	V	_
partis	partir	VPP	_
ce	ce	DET	_
matin	matin	NC	_
...	…	PONCT	_
une	un	DET	_
famille	famille	NC	_
anglaise	anglais	ADJ	_
...	…	PONCT	_
des	un	DET	_
gens	gens	NC	_
malpropres	malpropre	ADJ	_
,	,	PONCT	_
qui	qui	PROREL	_
jetaient	jeter	V	_
de	de	P	_
l'	le	DET	_
eau	eau	NC	_
partout	partout	ADV	_
...	…	PONCT	_
tout	tout	PRO	_
est	être	V	_
en	en	P	_
désordre	désordre	NC	_
...	…	PONCT	_
on	on	CLS	_
n'	ne	ADV	_
a	avoir	V	_
eu	avoir	VPP	_
le	le	DET	_
temps	temps	NC	_
de	de	P	_
rien	rien	PRO	_
ranger	ranger	VINF	_
...	…	PONCT	_
mais	mais	CC	_
l'	le	DET	_
étrangère	étrangère	NC	_
n'	ne	ADV	_
écoutait	écouter	V	_
pas	pas	ADV	_
:	:	PONCT	_
elle	il	CLS	_
s'	se	CLO	_
était	être	V	_
arrêtée	arrêter	VPP	_
devant	devant	P	_
une	un	DET	_
fenêtre	fenêtre	NC	_
avec	avec	P	_
l'	le	DET	_
enfant	enfant	NC	_
qu'	que	PROREL	_
elle	il	CLS	_
avait	avoir	V	_
à	à	P	_
la	le	DET	_
main	main	NC	_
et	et	CC	_
qui	qui	PROREL	_
se	se	CLO	_
tenait	tenir	V	_
dans	dans	P	_
sa	son	DET	_
robe	robe	NC	_
,	,	PONCT	_
et	et	CC	_
elle	il	CLS	_
lui	il	CLO	_
montrait	montrer	V	_
ce	ce	PRO	_
qu'	que	PROREL	_
on	on	CLS	_
voyait	voir	V	_
de	de	P	_
là	là	ADV	_
,	,	PONCT	_
la	le	DET	_
place	place	NC	_
d'	de	P	_
Espagne	Espagne	NP	_
et	et	CC	_
l'	le	DET	_
escalier	escalier	NC	_
de	de	P	_
la	le	DET	_
trinité	trinité	NC	_
-	-	PONCT	_
du	de_le	P+D	_
-	-	PONCT	_
mont	mont	NC	_
.	.	PONCT	_
Puis	puis	CC	_
elle	il	CLS	_
lui	il	CLO	_
demanda	demander	V	_
:	:	PONCT	_
-	-	PONCT	_
Pierre	Pierre	NP	_
-	-	PONCT	_
Charles	Charles	NP	_
,	,	PONCT	_
veux	vouloir	V	_
-tu	tu	CLS	_
rester	rester	VINF	_
ici	ici	ADV	_
?	?	PONCT	_
L'	le	DET	_
