INTRODUCTION	introduction	NC	_
La	le	DET	_
recherche	recherche	NC	_
de	de	P	_
la	le	DET	_
vérité	vérité	NC	_
doit	devoir	V	_
être	être	VINF	_
le	le	DET	_
but	but	NC	_
de	de	P	_
notre	notre	DET	_
activité	activité	NC	_
;	;	PONCT	_
c'	ce	CLS	_
est	être	V	_
la	le	DET	_
seule	seul	ADJ	_
fin	fin	NC	_
qui	qui	PROREL	_
soit	être	V	_
digne	digne	ADJ	_
d'	de	P	_
elle	il	PRO	_
.	.	PONCT	_
Sans	sans	P	_
doute	doute	NC	_
nous	nous	CLS	_
devons	devoir	V	_
d'	de	P	_
abord	abord	NC	_
nous	nous	CLO	_
efforcer	efforcer	VINF	_
de	de	P	_
soulager	soulager	VINF	_
les	le	DET	_
souffrances	souffrance	NC	_
humaines	humain	ADJ	_
,	,	PONCT	_
mais	mais	CC	_
pourquoi	pourquoi	PROWH	_
?	?	PONCT	_
Ne	ne	ADV	_
pas	pas	ADV	_
souffrir	souffrir	VINF	_
,	,	PONCT	_
c'	ce	CLS	_
est	être	V	_
un	un	DET	_
idéal	idéal	NC	_
négatif	négatif	ADJ	_
et	et	CC	_
qui	qui	PROREL	_
serait	être	V	_
plus	plus	ADV	_
sûrement	sûrement	ADV	_
atteint	atteindre	VPP	_
par	par	P	_
l'	le	DET	_
anéantissement	anéantissement	NC	_
du	de_le	P+D	_
monde	monde	NC	_
.	.	PONCT	_
Si	si	CS	_
nous	nous	CLS	_
voulons	vouloir	V	_
de	de	P	_
plus	plus	NC	_
en	en	P	_
plus	plus	NC	_
affranchir	affranchir	VINF	_
l'	le	DET	_
homme	homme	NC	_
des	de_le	P+D	_
soucis	souci	NC	_
matériels	matériel	ADJ	_
,	,	PONCT	_
c'	ce	CLS	_
est	être	V	_
pour	pour	P	_
qu'	que	CS	_
il	il	CLS	_
puisse	pouvoir	V	_
employer	employer	VINF	_
sa	son	DET	_
liberté	liberté	NC	_
reconquise	reconquérir	VPP	_
à	à	P	_
l'	le	DET	_
étude	étude	NC	_
et	et	CC	_
à	à	P	_
la	le	DET	_
contemplation	contemplation	NC	_
de	de	P	_
la	le	DET	_
vérité	vérité	NC	_
.	.	PONCT	_
Cependant	cependant	ADV	_
quelquefois	quelquefois	ADV	_
la	le	DET	_
vérité	vérité	NC	_
nous	nous	CLO	_
effraye	effrayer	V	_
.	.	PONCT	_
Et	et	CC	_
en	en	P	_
effet	effet	NC	_
,	,	PONCT	_
nous	nous	CLS	_
savons	savoir	V	_
qu'	que	CS	_
elle	il	CLS	_
est	être	V	_
quelquefois	quelquefois	ADV	_
décevante	décevant	ADJ	_
,	,	PONCT	_
que	que	CS	_
c'	ce	CLS	_
est	être	V	_
un	un	DET	_
fantôme	fantôme	NC	_
qui	qui	PROREL	_
ne	ne	ADV	_
se	se	CLO	_
montre	montrer	V	_
à	à	P	_
nous	nous	PRO	_
un	un	DET	_
instant	instant	NC	_
que	que	ADV	_
pour	pour	P	_
fuir	fuir	VINF	_
sans	sans	P	_
cesse	cesse	NC	_
,	,	PONCT	_
qu'	que	PROREL	_
il	il	CLS	_
faut	falloir	V	_
la	il	CLO	_
poursuivre	poursuivre	VINF	_
plus	plus	ADV	_
loin	loin	ADV	_
et	et	CC	_
toujours	toujours	ADV	_
plus	plus	ADV	_
loin	loin	ADV	_
,	,	PONCT	_
sans	sans	P	_
jamais	jamais	ADV	_
pouvoir	pouvoir	VINF	_
l'	il	CLO	_
atteindre	atteindre	VINF	_
.	.	PONCT	_
Et	et	CC	_
cependant	cependant	ADV	_
pour	pour	P	_
agir	agir	VINF	_
il	il	CLS	_
faut	falloir	V	_
s'	se	CLO	_
arrêter	arrêter	VINF	_
,	,	PONCT	_
(...)	…	PONCT	_
,	,	PONCT	_
comme	comme	P	_
a	avoir	V	_
dit	dire	VPP	_
je	je	CLS	_
ne	ne	ADV	_
sais	savoir	V	_
plus	plus	ADV	_
quel	quel	DET	_
grec	grec	NC	_
,	,	PONCT	_
