ACTE	acte	NC	_
1	1	ADJ	_
,	,	PONCT	_
SCèNE	SCèNE	NC	_
1	1	ADJ	_
le	le	DET	_
théâtre	théâtre	NC	_
représente	représenter	V	_
un	un	DET	_
salon	salon	NC	_
.	.	PONCT	_
-	-	PONCT	_
décoration	décoration	NC	_
brillante	brillant	ADJ	_
,	,	PONCT	_
gros	gros	ADJ	_
luxe	luxe	NC	_
.	.	PONCT	_
-	-	PONCT	_
au	à_le	P+D	_
fond	fond	NC	_
,	,	PONCT	_
trois	trois	DET	_
portes	porte	NC	_
à	à	P	_
deux	deux	DET	_
battants	battant	NC	_
;	;	PONCT	_
portes	porte	NC	_
latérales	latéral	ADJ	_
à	à	P	_
deux	deux	DET	_
battants	battant	NC	_
également	également	ADV	_
.	.	PONCT	_
-	-	PONCT	_
à	à	P	_
droite	droite	NC	_
,	,	PONCT	_
au	à_le	P+D	_
premier	premier	ADJ	_
plan	plan	NC	_
,	,	PONCT	_
contre	contre	P	_
le	le	DET	_
mur	mur	NC	_
,	,	PONCT	_
un	un	DET	_
piano	piano	NC	_
et	et	CC	_
de	de	P	_
même	même	ADV	_
à	à	P	_
gauche	gauche	NC	_
un	un	DET	_
meuble	meuble	NC	_
-	-	PONCT	_
secrétaire	secrétaire	NC	_
,	,	PONCT	_
qui	qui	PROREL	_
se	se	CLO	_
font	faire	V	_
vis-à-vis	vis-à-vis	NC	_
.	.	PONCT	_
-	-	PONCT	_
après	après	P	_
le	le	DET	_
meuble	meuble	NC	_
-	-	PONCT	_
secrétaire	secrétaire	NC	_
,	,	PONCT	_
une	un	DET	_
cheminée	cheminée	NC	_
.	.	PONCT	_
-	-	PONCT	_
en	en	P	_
scène	scène	NC	_
,	,	PONCT	_
au	à_le	P+D	_
second	second	ADJ	_
plan	plan	NC	_
,	,	PONCT	_
sur	sur	P	_
la	le	DET	_
droite	droite	NC	_
,	,	PONCT	_
une	un	DET	_
table	table	NC	_
;	;	PONCT	_
à	à	P	_
gauche	gauche	NC	_
,	,	PONCT	_
en	en	P	_
scène	scène	NC	_
également	également	ADV	_
,	,	PONCT	_
au	à_le	P+D	_
premier	premier	ADJ	_
plan	plan	NC	_
,	,	PONCT	_
un	un	DET	_
canapé	canapé	NC	_
.	.	PONCT	_
-	-	PONCT	_
meubles	meuble	NC	_
divers	divers	ADJ	_
,	,	PONCT	_
glaces	glace	NC	_
,	,	PONCT	_
fleurs	fleur	NC	_
,	,	PONCT	_
etc.	etc.	ADV	_
Vigneron	Vigneron	NP	_
,	,	PONCT	_
Madame	madame	NP	_
Vigneron	Vigneron	NP	_
,	,	PONCT	_
Marie	Marie	NP	_
,	,	PONCT	_
Blanche	Blanche	NP	_
,	,	PONCT	_
Judith	Judith	NP	_
,	,	PONCT	_
puis	puis	CC	_
Auguste	Auguste	NP	_
,	,	PONCT	_
puis	puis	CC	_
Gaston	Gaston	NP	_
.	.	PONCT	_
au	à_le	P+D	_
lever	lever	NC	_
du	de_le	P+D	_
rideau	rideau	NC	_
,	,	PONCT	_
Vigneron	Vigneron	NP	_
,	,	PONCT	_
étendu	étendre	VPP	_
sur	sur	P	_
le	le	DET	_
canapé	canapé	NC	_
,	,	PONCT	_
en	en	P	_
robe	robe	NC	_
de	de	P	_
chambre	chambre	NC	_
et	et	CC	_
un	un	DET	_
journal	journal	NC	_
entre	entre	P	_
les	le	DET	_
mains	main	NC	_
,	,	PONCT	_
sommeille	sommeiller	V	_
.	.	PONCT	_
-	-	PONCT	_
Marie	Marie	NP	_
,	,	PONCT	_
assise	asseoir	VPP	_
auprès	auprès	ADV	_
de	de	P	_
lui	il	PRO	_
,	,	PONCT	_
travaille	travailler	V	_
à	à	P	_
l'	le	DET	_
aiguille	aiguille	NC	_
.	.	PONCT	_
-	-	PONCT	_
Judith	Judith	NP	_
est	être	V	_
au	à_le	P+D	_
piano	piano	NC	_
,	,	PONCT	_
Blanche	Blanche	NP	_
à	à	P	_
la	le	DET	_
table	table	NC	_
où	où	PROREL	_
elle	il	CLS	_
écrit	écrire	V	_
.	.	PONCT	_
Madame	madame	NC	_
Vigneron	Vigneron	NP	_
.	.	PONCT	_
Ferme	ferme	ADJ	_
ton	ton	DET	_
piano	piano	NC	_
,	,	PONCT	_
ma	mon	DET	_
Judith	Judith	NP	_
,	,	PONCT	_
ton	ton	DET	_
père	père	NC	_
dort	dormir	V	_
.	.	PONCT	_
(	(	PONCT	_
allant	aller	VPR	_
à	à	P	_
la	le	DET	_
table	table	NC	_
.	.	PONCT	_
)	)	PONCT	_
Blanche	Blanche	NP	_
?	?	PONCT	_
Blanche	blanc	ADJ	_
.	.	PONCT	_
Maman	maman	NC	_
?	?	PONCT	_
Madame	madame	NC	_
Vigneron	Vigneron	NP	_
.	.	PONCT	_
Est	être	V	_
-ce	ce	CLS	_
fini	finir	VPP	_
?	?	PONCT	_
Blanche	blanc	ADJ	_
.	.	PONCT	_
Dans	dans	P	_
une	un	DET	_
minute	minute	NC	_
.	.	PONCT	_
Madame	madame	NC	_
Vigneron	Vigneron	NP	_
.	.	PONCT	_
As	avoir	V	_
-tu	tu	CLS	_
fait	faire	V	_
le	le	DET	_
compte	compte	NC	_
de	de	P	_
ton	ton	DET	_
côté	côté	NC	_
?	?	PONCT	_
Combien	combien	PROWH	_
de	de	P	_
personnes	personne	NC	_
serons	être	V	_
-nous	nous	CLS	_
à	à	P	_
table	table	NC	_
?	?	PONCT	_
Blanche	blanc	ADJ	_
.	.	PONCT	_
Seize	seize	DET	_
personnes	personne	NC	_
.	.	PONCT	_
Madame	madame	NC	_
Vigneron	Vigneron	NP	_
.	.	PONCT	_
C'	ce	CLS	_
est	être	V	_
bien	bien	ADV	_
cela	cela	PRO	_
.	.	PONCT	_
elle	il	CLS	_
va	aller	V	_
prendre	prendre	VINF	_
une	un	DET	_
chaise	chaise	NC	_
et	et	CC	_
revient	revenir	V	_
s'	se	CLO	_
asseoir	asseoir	VINF	_
près	près	ADV	_
de	de	P	_
Blanche	Blanche	NP	_
.	.	PONCT	_
Blanche	blanc	ADJ	_
.	.	PONCT	_
Crois	croire	V	_
-tu	tu	CLS	_
que	que	CS	_
le	le	DET	_
dîner	dîner	NC	_
sera	être	V	_
meilleur	meilleur	ADJ	_
parce_que	parce_que	CS	_
nous	nous	CLS	_
aurons	avoir	V	_
mis	mettre	VPP	_
le	le	DET	_
menu	menu	NC	_
sur	sur	P	_
les	le	DET	_
assiettes	assiette	NC	_
?	?	PONCT	_
Madame	madame	NC	_
Vigneron	Vigneron	NP	_
.	.	PONCT	_
Il	il	CLS	_
ne	ne	ADV	_
sera	être	V	_
pas	pas	ADV	_
plus	plus	ADV	_
mauvais	mauvais	ADJ	_
au	à_le	P+D	_
moins	moins	NC	_
.	.	PONCT	_
Blanche	blanc	ADJ	_
.	.	PONCT	_
Quel	quel	DET	_
drôle	drôle	NC	_
d'	de	P	_
usage	usage	NC	_
!	!	PONCT	_
Mais	mais	CC	_
es	être	V	_
-tu	tu	CLS	_
bien	bien	ADV	_
sûre	sûr	ADJ	_
que	que	CS	_
ce	ce	CLS	_
soit	être	V	_
l'	le	DET	_
usage	usage	NC	_
?	?	PONCT	_
Madame	madame	NC	_
Vigneron	Vigneron	NP	_
.	.	PONCT	_
Sûre	sûr	ADJ	_
et	et	CC	_
certaine	certain	ADJ	_
.	.	PONCT	_
Je	je	CLS	_
l'	il	CLO	_
ai	avoir	V	_
lu	lire	VPP	_
dans	dans	P	_
la	le	DET	_
cuisinière	cuisinière	NC	_
bourgeoise	bourgeois	ADJ	_
.	.	PONCT	_
Blanche	blanc	ADJ	_
.	.	PONCT	_
Veux	vouloir	V	_
-tu	tu	CLS	_
que	que	CS	_
nous	nous	CLS	_
arrêtions	arrêter	V	_
les	le	DET	_
places	place	NC	_
ensemble	ensemble	ADV	_
?	?	PONCT	_
Madame	madame	NC	_
Vigneron	Vigneron	NP	_
.	.	PONCT	_
Récapitulons	récapituler	V	_
d'	de	P	_
abord	abord	NC	_
.	.	PONCT	_
Mme	Mme	NC	_
De	de	P	_
Saint-Genis	Saint-Genis	NP	_
?	?	PONCT	_
Blanche	blanc	ADJ	_
.	.	PONCT	_
C'	ce	CLS	_
est	être	V	_
fait	faire	VPP	_
.	.	PONCT	_
Madame	madame	NC	_
Vigneron	Vigneron	NP	_
.	.	PONCT	_
Son	son	DET	_
fils	fils	NC	_
?	?	PONCT	_
Blanche	blanc	ADJ	_
.	.	PONCT	_
Tu	tu	CLS	_
penses	penser	V	_
bien	bien	ADV	_
,	,	PONCT	_
maman	maman	NC	_
,	,	PONCT	_
que	que	CS	_
je	je	CLS	_
ne	ne	ADV	_
l'	il	CLO	_
ai	avoir	V	_
pas	pas	ADV	_
oublié	oublier	VPP	_
.	.	PONCT	_
Madame	madame	NC	_
Vigneron	Vigneron	NP	_
.	.	PONCT	_
L'	le	DET	_
abbé	abbé	NC	_
Mouton	Mouton	NP	_
?	?	PONCT	_
Blanche	blanc	ADJ	_
.	.	PONCT	_
Mon	mon	DET	_
cher	cher	ADJ	_
abbé	abbé	NC	_
!	!	PONCT	_
J'	je	CLS	_
aurai	avoir	V	_
reçu	recevoir	VPP	_
tous	tout	ADJ	_
les	le	DET	_
sacrements	sacrement	NC	_
de	de	P	_
sa	son	DET	_
main	main	NC	_
,	,	PONCT	_
le	le	DET	_
baptême	baptême	NC	_
,	,	PONCT	_
la	le	DET	_
communion	communion	NC	_
...	…	PONCT	_
et	et	CC	_
le	le	DET	_
mariage	mariage	NC	_
.	.	PONCT	_
Madame	madame	NC	_
Vigneron	Vigneron	NP	_
.	.	PONCT	_
Si	si	CS	_
tu	tu	CLS	_
bavardes	bavarder	V	_
à	à	P	_
chaque	chaque	DET	_
nom	nom	NC	_
,	,	PONCT	_
nous	nous	CLS	_
n'	ne	ADV	_
aurons	avoir	V	_
pas	pas	ADV	_
fini	finir	VPP	_
la	le	DET	_
semaine	semaine	NC	_
prochaine	prochain	ADJ	_
.	.	PONCT	_
M.	M.	NC	_
Teissier	Teissier	NP	_
?	?	PONCT	_
Blanche	blanc	ADJ	_
.	.	PONCT	_
Le	il	CLO	_
voici	voici	V	_
,	,	PONCT	_
M.	M.	NC	_
Teissier	Teissier	NP	_
;	;	PONCT	_
je	je	CLS	_
me	je	CLO	_
serais	être	V	_
bien	bien	ADV	_
privée	priver	VPP	_
de	de	P	_
sa	son	DET	_
présence	présence	NC	_
.	.	PONCT	_
Vigneron	vigneron	NC	_
,	,	PONCT	_
se	se	CLO	_
réveillant	réveiller	VPR	_
.	.	PONCT	_
qu'	que	PROWH	_
est	être	V	_
-ce	ce	CLS	_
que	que	PROREL	_
j'	je	CLS	_
ai	avoir	V	_
entendu	entendre	VPP	_
là	là	ADV	_
?	?	PONCT	_
C'	ce	CLS	_
est	être	V	_
Mlle	Mlle	NC	_
Blanche	Blanche	NP	_
qui	qui	PROREL	_
parle	parler	V	_
chez	chez	P	_
moi	je	PRO	_
à	à	P	_
la	le	DET	_
première	premier	ADJ	_
personne	personne	NC	_
?	?	PONCT	_
Blanche	blanc	ADJ	_
.	.	PONCT	_
Mon	mon	DET	_
dieu	dieu	NC	_
,	,	PONCT	_
oui	oui	I	_
,	,	PONCT	_
papa	papa	NC	_
,	,	PONCT	_
c'	ce	CLS	_
est	être	V	_
la	le	DET	_
petite	petit	ADJ	_
Blanche	Blanche	NP	_
.	.	PONCT	_
Vigneron	vigneron	NC	_
.	.	PONCT	_
Et	et	CC	_
peut	pouvoir	V	_
-on	on	CLS	_
savoir	savoir	VINF	_
ce	ce	PRO	_
que	que	PROREL	_
M.	M.	NC	_
Teissier	Teissier	NP	_
vous	vous	CLO	_
a	avoir	V	_
fait	faire	VPP	_
,	,	PONCT	_
mademoiselle	mademoiselle	NC	_
?	?	PONCT	_
Blanche	blanc	ADJ	_
.	.	PONCT	_
à	à	P	_
moi	je	PRO	_
?	?	PONCT	_
Rien	rien	PRO	_
!	!	PONCT	_
Il	il	CLS	_
est	être	V	_
vieux	vieux	ADJ	_
,	,	PONCT	_
laid	laid	ADJ	_
,	,	PONCT	_
grossier	grossier	ADJ	_
,	,	PONCT	_
avare	avare	ADJ	_
;	;	PONCT	_
il	il	CLS	_
regarde	regarder	V	_
toujours	toujours	ADV	_
en	en	P	_
dessous	dessous	NC	_
,	,	PONCT	_
cela	cela	PRO	_
seulement	seulement	ADV	_
suffirait	suffire	V	_
pour	pour	P	_
que	que	CS	_
je	je	CLS	_
souffre	souffrir	V	_
de	de	P	_
me	je	CLO	_
trouver	trouver	VINF	_
avec	avec	P	_
lui	il	PRO	_
.	.	PONCT	_
Vigneron	vigneron	NC	_
.	.	PONCT	_
Très	très	ADV	_
bien	bien	ADV	_
!	!	PONCT	_
Parfait	parfait	ADJ	_
!	!	PONCT	_
Je	je	CLS	_
vais	aller	V	_
arranger	arranger	VINF	_
cette	ce	DET	_
affaire	affaire	NC	_
-là	là	ADV	_
!	!	PONCT	_
Madame	madame	NC	_
Vigneron	Vigneron	NP	_
,	,	PONCT	_
tu	tu	CLS	_
feras	faire	V	_
enlever	enlever	VINF	_
