AVERTISSEMENT	avertissement	NC	_
T	T	NC	_
1	1	ADJ	_
L'	le	DET	_
expérience	expérience	NC	_
dans	dans	P	_
l'	le	DET	_
enseignement	enseignement	NC	_
m'	je	CLO	_
a	avoir	V	_
fait	faire	VPP	_
sentir	sentir	VINF	_
combien	combien	PROWH	_
une	un	DET	_
philosophie	philosophie	NC	_
zoologique	zoologique	ADJ	_
,	,	PONCT	_
c'est-à-dire	c'est-à-dire	CC	_
,	,	PONCT	_
un	un	DET	_
corps	corps	NC	_
de	de	P	_
préceptes	précepte	NC	_
et	et	CC	_
de	de	P	_
principes	principe	NC	_
relatifs	relatif	ADJ	_
à	à	P	_
l'	le	DET	_
étude	étude	NC	_
des	de_le	P+D	_
animaux	animal	NC	_
,	,	PONCT	_
et	et	CC	_
même	même	ADV	_
applicables	applicable	ADJ	_
aux	à_le	P+D	_
autres	autre	ADJ	_
parties	partie	NC	_
des	de_le	P+D	_
sciences	science	NC	_
naturelles	naturel	ADJ	_
,	,	PONCT	_
seroit	être	V	_
maintenant	maintenant	ADV	_
utile	utile	ADJ	_
,	,	PONCT	_
nos	notre	DET	_
connoissances	connaissance	NC	_
de	de	P	_
faits	fait	NC	_
zoologiques	zoologique	ADJ	_
ayant	avoir	VPR	_
,	,	PONCT	_
depuis	depuis	P	_
environ	environ	ADV	_
trente	trente	DET	_
années	année	NC	_
,	,	PONCT	_
fait	faire	VPP	_
des	un	DET	_
progrès	progrès	NC	_
considérables	considérable	ADJ	_
.	.	PONCT	_
En	en	P	_
conséquence	conséquence	NC	_
,	,	PONCT	_
j'	je	CLS	_
ai	avoir	V	_
essayé	essayer	VPP	_
de	de	P	_
tracer	tracer	VINF	_
une	un	DET	_
esquisse	esquisse	NC	_
de	de	P	_
cette	ce	DET	_
philosophie	philosophie	NC	_
,	,	PONCT	_
pour	pour	P	_
en	en	CLO	_
faire	faire	VINF	_
usage	usage	NC	_
dans	dans	P	_
mes	mon	DET	_
leçons	leçon	NC	_
,	,	PONCT	_
et	et	CC	_
me	je	CLO	_
faire	faire	VINF	_
mieux	mieux	ADV	_
entendre	entendre	VINF	_
de	de	P	_
mes	mon	DET	_
élèves	élève	NC	_
:	:	PONCT	_
je	je	CLS	_
n'	ne	ADV	_
avois	avoir	V	_
alors	alors	ADV	_
aucun	aucun	DET	_
autre	autre	ADJ	_
but	but	NC	_
.	.	PONCT	_
Mais	mais	CC	_
,	,	PONCT	_
pour	pour	P	_
parvenir	parvenir	VINF	_
à	à	P	_
la	le	DET	_
détermination	détermination	NC	_
des	de_le	P+D	_
principes	principe	NC	_
,	,	PONCT	_
et	et	CC	_
d'	de	P	_
après	après	P	_
eux	il	PRO	_
,	,	PONCT	_
à	à	P	_
l'	le	DET	_
établissement	établissement	NC	_
des	de_le	P+D	_
préceptes	précepte	NC	_
qui	qui	PROREL	_
doivent	devoir	V	_
guider	guider	VINF	_
dans	dans	P	_
l'	le	DET	_
étude	étude	NC	_
,	,	PONCT	_
me	je	CLO	_
trouvant	trouver	VPR	_
obligé	obliger	VPP	_
de	de	P	_
considérer	considérer	VINF	_
l'	le	DET	_
organisation	organisation	NC	_
dans	dans	P	_
les	le	DET	_
différens	différent	ADJ	_
animaux	animal	NC	_
connus	connaître	VPP	_
;	;	PONCT	_
d'	de	P	_
avoir	avoir	VINF	_
égard	égard	NC	_
aux	à_le	P+D	_
différences	différence	NC	_
singulières	singulier	ADJ	_
qu'	que	PROREL	_
elle	il	CLS	_
offre	offrir	V	_
dans	dans	P	_
ceux	celui	PRO	_
de	de	P	_
chaque	chaque	DET	_
famille	famille	NC	_
,	,	PONCT	_
de	de	P	_
chaque	chaque	DET	_
ordre	ordre	NC	_
,	,	PONCT	_
et	et	CC	_
surtout	surtout	ADV	_
de	de	P	_
chaque	chaque	DET	_
classe	classe	NC	_
;	;	PONCT	_
de	de	P	_
comparer	comparer	VINF	_
les	le	DET	_
facultés	faculté	NC	_
que	que	CS	_
ces	ce	DET	_
animaux	animal	NC	_
en	en	CLO	_
obtiennent	obtenir	V	_
selon	selon	P	_
son	son	DET	_
degré	degré	NC	_
de	de	P	_
composition	composition	NC	_
dans	dans	P	_
chaque	chaque	DET	_
race	race	NC	_
;	;	PONCT	_
enfin	enfin	ADV	_
,	,	PONCT	_
de	de	P	_
reconnoître	reconnaître	VINF	_
les	le	DET	_
phénomènes	phénomène	NC	_
les	le	DET	_
plus	plus	ADV	_
généraux	général	ADJ	_
qu'	que	CS	_
elle	il	CLS	_
présente	présenter	V	_
dans	dans	P	_
les	le	DET	_
principaux	principal	ADJ	_
cas	cas	NC	_
;	;	PONCT	_
je	je	CLS	_
fus	être	V	_
successivement	successivement	ADV	_
entraîné	entraîner	VPP	_
à	à	P	_
embrasser	embrasser	VINF	_
des	un	DET	_
considérations	considération	NC	_
du	de_le	P+D	_
plus	plus	ADV	_
grand	grand	ADJ	_
intérêt	intérêt	NC	_
pour	pour	P	_
la	le	DET	_
science	science	NC	_
,	,	PONCT	_
et	et	CC	_
à	à	P	_
examiner	examiner	VINF	_
les	le	DET	_
questions	question	NC	_
zoologiques	zoologique	ADJ	_
les	le	DET	_
plus	plus	ADV	_
difficiles	difficile	ADJ	_
.	.	PONCT	_
Comment	comment	PROWH	_
,	,	PONCT	_
en	en	P	_
effet	effet	NC	_
,	,	PONCT	_
pouvois	pouvoir	V	_
-je	je	CLS	_
envisager	envisager	VINF	_
la	le	DET	_
dégradation	dégradation	NC	_
singulière	singulier	ADJ	_
qui	qui	PROREL	_
se	se	CLO	_
trouve	trouver	V	_
dans	dans	P	_
la	le	DET	_
composition	composition	NC	_
de	de	P	_
l'	le	DET	_
organisation	organisation	NC	_
des	de_le	P+D	_
animaux	animal	NC	_
,	,	PONCT	_
à	à	P	_
mesure	mesure	NC	_
que	que	CS	_
l'on	on	CLS	_
parcourt	parcourir	V	_
leur	leur	DET	_
série	série	NC	_
,	,	PONCT	_
depuis	depuis	P	_
les	le	DET	_
plus	plus	ADV	_
parfaits	parfait	ADJ	_
d'	de	P	_
entr'eux	entr'eux	NP	_
,	,	PONCT	_
jusques	jusque	P	_
aux	à_le	P+D	_
plus	plus	ADV	_
imparfaits	imparfait	ADJ	_
,	,	PONCT	_
sans	sans	P	_
rechercher	rechercher	VINF	_
à	à	P	_
quoi	quoi	PROWH	_
peut	pouvoir	V	_
tenir	tenir	VINF	_
un	un	DET	_
fait	fait	NC	_
si	si	ADV	_
positif	positif	ADJ	_
et	et	CC	_
aussi	aussi	ADV	_
remarquable	remarquable	ADJ	_
,	,	PONCT	_
un	un	DET	_
fait	fait	NC	_
qui	qui	PROREL	_
m'	je	CLO	_
est	être	V	_
attesté	attester	VPP	_
par	par	P	_
tant	tant	ADV	_
de	de	P	_
preuves	preuve	NC	_
?	?	PONCT	_
Ne	ne	ADV	_
devois	devoir	V	_
-je	je	CLS	_
pas	pas	ADV	_
penser	penser	VINF	_
que	que	CS	_
la	le	DET	_
nature	nature	NC	_
avoit	avoir	V	_
produit	produire	VPP	_
successivement	successivement	ADV	_
les	le	DET	_
différens	différent	ADJ	_
corps	corps	NC	_
doués	douer	VPP	_
de	de	P	_
la	le	DET	_
vie	vie	NC	_
,	,	PONCT	_
en	en	P	_
procédant	procéder	VPR	_
du	de_le	P+D	_
plus	plus	ADV	_
simple	simple	ADJ	_
vers	vers	P	_
le	le	DET	_
plus	plus	ADV	_
composé	composer	VPP	_
;	;	PONCT	_
puisqu'	puisque	CS	_
en	en	P	_
remontant	remonter	VPR	_
l'	le	DET	_
échelle	échelle	NC	_
animale	animal	ADJ	_
depuis	depuis	P	_
les	le	DET	_
animaux	animal	NC	_
les	le	DET	_
plus	plus	ADV	_
imparfaits	imparfait	ADJ	_
